CODE, DESCRIPTION
0,"PHARE, TACIS and countries of Central and Eastern Europe"
1,External aid and European Development Fund
2,"European Investment Bank, European Investment Fund, European Bank for Reconstruction and Development"
3,European Institution/Agency or International Organisation
4,European Union
5,"European Union, with participation of GPA countries"
6,European Economic Area (EEA)
7,GPA
8,Other
9,Not applicable
B,"European Economic Area (EEA), with participation by GPA countries"
S,Agreement between the European Community and the Swiss Confederation
Z,Not specified
